api_route,api_file,api_type,ui_status,ui_file_count,ui_files
/api/address/autocomplete,app/api/address/autocomplete/route.ts,public,covered,2,apps/mobile/features/discover/location.ts; lib/geo/client.ts
/api/address/details,app/api/address/details/route.ts,public,covered,2,apps/mobile/features/discover/location.ts; lib/geo/client.ts
/api/address/reverse,app/api/address/reverse/route.ts,public,covered,1,lib/geo/client.ts
/api/admin/audit/list,app/api/admin/audit/list/route.ts,public,covered,1,app/admin/(protected)/audit/page.tsx
/api/admin/config/platform-email,app/api/admin/config/platform-email/route.ts,public,covered,3,app/admin/(protected)/config/platform-email/page.tsx; app/admin/(protected)/organizacoes/page.tsx; app/admin/(protected)/settings/page.tsx
/api/admin/data/purge,app/api/admin/data/purge/route.ts,public,covered,1,app/admin/components/AdminDataPurgeTools.tsx
/api/admin/eventos/list,app/api/admin/eventos/list/route.ts,public,covered,1,app/admin/(protected)/eventos/page.tsx
/api/admin/eventos/purge,app/api/admin/eventos/purge/route.ts,public,covered,1,app/admin/(protected)/eventos/page.tsx
/api/admin/eventos/update-status,app/api/admin/eventos/update-status/route.ts,public,covered,1,app/admin/(protected)/eventos/page.tsx
/api/admin/fees,app/api/admin/fees/route.ts,public,covered,1,app/admin/(protected)/settings/page.tsx
/api/admin/infra/alerts/status,app/api/admin/infra/alerts/status/route.ts,public,covered,1,app/admin/(protected)/infra/InfraClient.tsx
/api/admin/infra/cost/summary,app/api/admin/infra/cost/summary/route.ts,public,covered,1,app/admin/(protected)/infra/InfraClient.tsx
/api/admin/infra/deploy,app/api/admin/infra/deploy/route.ts,public,covered,1,app/admin/(protected)/infra/InfraClient.tsx
/api/admin/infra/hard-pause,app/api/admin/infra/hard-pause/route.ts,public,covered,1,app/admin/(protected)/infra/InfraClient.tsx
/api/admin/infra/migrate,app/api/admin/infra/migrate/route.ts,public,covered,1,app/admin/(protected)/infra/InfraClient.tsx
/api/admin/infra/mode,app/api/admin/infra/mode/route.ts,public,covered,1,app/admin/(protected)/infra/InfraClient.tsx
/api/admin/infra/resume,app/api/admin/infra/resume/route.ts,public,covered,1,app/admin/(protected)/infra/InfraClient.tsx
/api/admin/infra/rotate-secrets,app/api/admin/infra/rotate-secrets/route.ts,public,covered,1,app/admin/(protected)/infra/InfraClient.tsx
/api/admin/infra/soft-pause,app/api/admin/infra/soft-pause/route.ts,public,covered,1,app/admin/(protected)/infra/InfraClient.tsx
/api/admin/infra/start,app/api/admin/infra/start/route.ts,public,covered,1,app/admin/(protected)/infra/InfraClient.tsx
/api/admin/infra/status,app/api/admin/infra/status/route.ts,public,covered,1,app/admin/(protected)/infra/InfraClient.tsx
